ABI_SFA_SAPID__c,Name,ABI_DTT_AddressFirstLine__c,ABI_SFA_City__c,ABI_SFA_Address__c,ShippingLatitude,ShippingLongitude
29418662,LE SAINT CHRISTOPHE,RN6,AVALLON,RN6 / 89200 AVALLON / FR,"47,48237","3,91627"
29417275,LA CULBUTE,RUE SAINT DRUON 129,CAMBRAI,RUE SAINT DRUON 129 / 59400 CAMBRAI / FR,"50,17535","3,23437"
29418072,BAR DES VRAIS AMIS,.,VENNISSIEUX,. / 69200 VENNISSIEUX / FR,"45,69654","4,88376"
29418062,L'EPICURIEN_,AVENUE DE CASTRES 9,TOULOUSE,AVENUE DE CASTRES 9 / 31500 TOULOUSE / FR,"43,59605","1,43214"
29417259,L ETOILE D OR,BD GALLIENI 217,VILLENEUVE LA GARENNE,BD GALLIENI 217 / 92390 VILLENEUVE LA GARENNE / FR,"48,93463","2,33274"
29417000,CHEZ KARA,RUE ARAGO 12,PUTEAUX,RUE ARAGO 12 / 92800 PUTEAUX / FR,"48,88434","2,24555"
29418640,VIN BLANC ROUGE,3 AV DE LA PREHISTOIREVINBLANCROUGE,LES EYZIES DE TAYAC,3 AV DE LA PREHISTOIREVINBLANCROUGE / 24620 LES EYZIES DE TAYAC / FR,"19,16667","-72,5"
29418641,L'ISTANBUL,2 RUE VERDUN,LAVAL,2 RUE VERDUN / 53000 LAVAL / FR,"48,47849","3,11804"
29418053,LE SAINT GEORGES,.,SAINT GEORGES GROSEILLIER,. / 61100 SAINT GEORGES GROSEILLIER / FR,"12,05288","-61,75226"
29417269,LA CHAMADE,AV GENERAL LECLERC 8,AIRAINES,AV GENERAL LECLERC 8 / 80270 AIRAINES / FR,"49,96578","1,94253"
29418070,LA CABANE A NEIGE,LES VILLARD,ARC 1800,LES VILLARD / 73700 ARC 1800 / FR,"45,61697","6,76727"
29418635,CHEZ MONSIEUR EDOUARD,AV GARIBALDI,LIMOGES,AV GARIBALDI / 87000 LIMOGES / FR,"45,85449","1,24887"
29418023,KASKARO BANDA,MAIRIEMAIRIE,SAINT JEAN DE LUZ,MAIRIEMAIRIE / 64500 SAINT JEAN DE LUZ / FR,"43,39416","-1,63005"
29418624,L'ENTREE DES ARTISTES,AV DE SENEVULAZ,THONON LES BAINS,AV DE SENEVULAZ / 74200 THONON LES BAINS / FR,"46,39825","6,47608"
29418057,LA GARGOUILLE,L.D.KERALLAN,PLOUHINEC,L.D.KERALLAN / 56680 PLOUHINEC / FR,"47,70087","-3,217085"
29418582,ETABLISSEMENT DIACONESSES,2 RTE STE ELISABETH,STRASBOURG,2 RTE STE ELISABETH / 67085 STRASBOURG / FR,"48,57123","7,76767"
29417218,L'EQUINOXE,RUE TORRICELLI 20,PARIS,RUE TORRICELLI 20 / 75017 PARIS / FR,"48,881","2,29246"
29417276,LE CAVIN,RUE DES FONTAINES 8,VOULPAIX,RUE DES FONTAINES 8 / 02140 VOULPAIX / FR,"49,83905","3,83117"
29418620,AU PETIT DELICE,AV W. CHURCHILLIMMEUBLE LES TERASSE,AIX EN PROVENCE,AV W. CHURCHILLIMMEUBLE LES TERASSE / 13090 AIX EN PROVENCE / FR,"43,5361","5,39862"
29417404,LE CYRANO,7 PL   VOGEL,AMIENS,7 PL   VOGEL / 80000 AMIENS / FR,"49,9004","2,28975"
29417209,PIZZA EL VESUVIO,RUE FRANCISQUE GAY 25,PARIS,RUE FRANCISQUE GAY 25 / 75006 PARIS / FR,"48,85284","2,34335"
29417265,AU PECHE MIGNON,PL DU CASINO 11,DUNKERQUE,PL DU CASINO 11 / 59240 DUNKERQUE / FR,"51,04818","2,3897"
29417207,LA BELLE EPOQUE,RUE NOTRE DAME N?2 .,REDON,RUE NOTRE DAME N?2 . / 35600 REDON / FR,"47,65204","-2,08347"
29418361,HOTEL EDOUARD VII,21 AV CARNOT,BIARRITZ,21 AV CARNOT / 64200 BIARRITZ / FR,"43,48223","-1,56085"
29418612,PIZZA MARCO,AV PAUL COSTE,AIX EN PROVENCE,AV PAUL COSTE / 13100 AIX EN PROVENCE / FR,"43,5361","5,39862"
29418607,CHEZ FANNY,AV JULES FERRY,AIX EN PROVENCE,AV JULES FERRY / 13100 AIX EN PROVENCE / FR,"43,5361","5,39862"
29418604,CAFE DU MARCHE,7 PL VILLEPARIS,VILLEPARISIS,7 PL VILLEPARIS / 77270 VILLEPARISIS / FR,"48,94189","2,61714"
29417258,CAFE DU PALAIS,RUE DES MINIMES 2,COMPIEGNES,RUE DES MINIMES 2 / 60200 COMPIEGNES / FR,"49,39918","2,85305"
29417197,LE TRAMWAY DE L'EST,BD DE STRASBOURG 76,PARIS,BD DE STRASBOURG 76 / 75010 PARIS / FR,"33,66094","-95,55551"
29417192,CAFE DE FRANCE,PL DE VERDUN 33,CARPENTRAS,PL DE VERDUN 33 / 84200 CARPENTRAS / FR,"44,05942","5,06144"
29417189,SUR LE POUCE,RUE GUTENBERG C.CL PARIWEST,MAUREPAS,RUE GUTENBERG C.CL PARIWEST / 78310 MAUREPAS / FR,"48,75893","1,92383"
29418575,DREAM'S,RTE PASTEUR,MALEMORT,RTE PASTEUR / 19360 MALEMORT / FR,"45,17921","1,58938"
29417181,LE KILT,RUE DU VIEUX VERSAILLES 17,VERSAILLES,RUE DU VIEUX VERSAILLES 17 / 78000 VERSAILLES / FR,"48,80095","2,12257"
29417073,LE BEAU BOURG,AV DE DUNKERQUE 763,LOMME,AV DE DUNKERQUE 763 / 59160 LOMME / FR,"50,64565","2,98744"
29417187,AU BON ACCUEIL,RUE DE PARIS 59,SAINT GERMAIN EN LAYE,RUE DE PARIS 59 / 78100 SAINT GERMAIN EN LAYE / FR,"48,89515","2,09495"
29417169,LE CAFE DE LA POSTE,PL EDMOND VIAN 2,SAINT CHERON,PL EDMOND VIAN 2 / 91530 SAINT CHERON / FR,"48,55352","2,12386"
29417178,LE ROYAL VALOIS,PL DE VALOIS 1B,PARIS,PL DE VALOIS 1B / 75001 PARIS / FR,"48,86343","2,33812"
29417153,LE BALTARD,RUE SAINT DENIS 11,PARIS,RUE SAINT DENIS 11 / 75003 PARIS / FR,"48,85927","2,34766"
29417148,CAFE DANIEL- LE CENTRE,RUE JEAN CATELAS 36,AULNOYES,RUE JEAN CATELAS 36 / 59620 AULNOYES / FR,"48,25728","5,78293"
29417151,BAR LES RHODODENDRONS,RTE DE VANNES,CHATEL,RTE DE VANNES / 74390 CHATEL / FR,"46,26767","6,84088"
29418552,LES ARBRISSEAUX,RTE AIRAINES,POIX DE PICARDIE,RTE AIRAINES / 80000 POIX DE PICARDIE / FR,"49,7478","1,9794"
29417160,LE RICHELIEU,RUE HAUTE 53,RUEIL MALMAISON,RUE HAUTE 53 / 92500 RUEIL MALMAISON / FR,"48,87382","2,18189"
29418556,LE CAFE DE LEON,18 CC MINE OUEST CORA,PACE,18 CC MINE OUEST CORA / 35740 PACE / FR,"48,14875","-1,76948"
29417167,LE RENDEZ-VOUS DES CHAUFFEURS,AV MARCEL PAUL 89,GENNEVILLIERS,AV MARCEL PAUL 89 / 92230 GENNEVILLIERS / FR,"48,93349","2,29927"
29417122,LE TRIDENT,AV GENERAL DE GAULLE IMMEUBLE LE TRIDENT,STE MAXIME,AV GENERAL DE GAULLE IMMEUBLE LE TRIDENT / 83120 STE MAXIME / FR,"14,83093","-61,07888"
29417150,AU GEANT LILLOIS,RUE DE TOURNAI 2,LILLE,RUE DE TOURNAI 2 / 59000 LILLE / FR,"50,621295","3,086685"
29417103,LE SN'ACK,PL DES CARDEURS 4,AIX EN PROVENCE,PL DES CARDEURS 4 / 13100 AIX EN PROVENCE / FR,"43,5361","5,39862"
29418531,SODEXO RESIDENCE LES 3 ROSES,3 RUE DU PROFESSEUR LANGEVIN,EPERNAY,3 RUE DU PROFESSEUR LANGEVIN / 51200 EPERNAY / FR,"49,03415","3,95742"
29417158,LE CAMELIA,BOULEVARD GARIBALDI 37,PARIS,BOULEVARD GARIBALDI 37 / 75015 PARIS / FR,"33,66094","-95,55551"
29418547,BISTROT DES ALPES,BD JEAN JAURES 21,AIX EN PROVENCE,BD JEAN JAURES 21 / 13100 AIX EN PROVENCE / FR,"43,5361","5,39862"
29417033,BRASSERIE LYS,PL GEORGES POMPIDOU 12,POISSY,PL GEORGES POMPIDOU 12 / 78300 POISSY / FR,"48,9235","2,02742"
29417145,LOLITA,RUE DE PARIS 144,FLERS,RUE DE PARIS 144 / 61100 FLERS / FR,"48,74015","-0,56236"
29417139,BISTRO GUEULE A VIN,RUE FONTENAY 4,VINCENNES,RUE FONTENAY 4 / 94300 VINCENNES / FR,"38,67727","-87,52863"
29417137,LE CORONA IMPERIAL,AV KLEBER 70,PARIS,AV KLEBER 70 / 75116 PARIS / FR,"33,66094","-95,55551"
29417097,BAR LANGE,RTE NATIONALE LA GAVOTTE,LA GAVOTTE,RTE NATIONALE LA GAVOTTE / 13170 LA GAVOTTE / FR,"43,49127","5,56902"
29417130,AU COCHON QUI RIT,"RTE DE WEMAERS CAPPEL ""LE PECK 1829",HARDIFORT,RTE DE WEMAERS CAPPEL &quot;LE PECK 1829 / 59670 HARDIFORT / FR,"50,8208","2,4848"
29418527,RHODIA,RTE DEPARTEMENTALE 52,CHALAMPE,RTE DEPARTEMENTALE 52 / 68490 CHALAMPE / FR,"47,81986","7,54162"
29417115,OCTOPUSSY,RUE DE LA JONQUIERE 22,PARIS,RUE DE LA JONQUIERE 22 / 75017 PARIS / FR,"33,66094","-95,55551"
29417127,LE LAETITIA,PL LOUIS MOREL 15,PLOEUC SUR LIE,PL LOUIS MOREL 15 / 22150 PLOEUC SUR LIE / FR,"48,34679","-2,75605"
29417096,DELPHIN,QUAI DES BAUX 1,CASSIS,QUAI DES BAUX 1 / 13260 CASSIS / FR,"43,2142","5,53819"
29417080,BRASSERIE LE SOLEIL,QUAI DES BELGES 3B,MARSEILLE,QUAI DES BELGES 3B / 13001 MARSEILLE / FR,"43,29222","5,42017"
29418518,SODEXO E.F.S,33 AV CHARLES SAINT VENANT,LILLE,33 AV CHARLES SAINT VENANT / 59000 LILLE / FR,"50,63147","3,02568"
29418520,SODEXO CCAS FOYER GDE TERRES,2 RUE GRANDES TERRES,CHARLEVILLE MEZIERES,2 RUE GRANDES TERRES / 08000 CHARLEVILLE MEZIERES / FR,"49,77498","4,71701"
