ABI_SFA_SAPID__c,Name,ABI_DTT_AddressFirstLine__c,ABI_SFA_City__c,ABI_SFA_Address__c,ShippingLatitude,ShippingLongitude
29394629,CAFE LAVINAL,PL DESQUET,PAUILLAC,PL DESQUET / 33250 PAUILLAC / FR,"45,19089152","-0,754740858"
29394631,BAR TABAC DU CHEMIN DES DAMES,RUE PIERRE CURTIL 4B,CORBENY,RUE PIERRE CURTIL 4B / 02800 CORBENY / FR,"49,46295","3,82231"
29394632,LE BRONCO,RUE DES PETITES ECURIES 39,PARIS,RUE DES PETITES ECURIES 39 / 75010 PARIS / FR,"48,8738","2,35012"
29394634,CAFE DE LA JEUNESSE,RUE CHAUSSE BRUNEHAUT 46,ENGLEFONTAINE,RUE CHAUSSE BRUNEHAUT 46 / 59530 ENGLEFONTAINE / FR,"50,27731741","3,605938597"
29394636,AMICALE DES BOULISTES,PL DE LA FELICITE,ST GILLES CROIX DE VIE,PL DE LA FELICITE / 85800 ST GILLES CROIX DE VIE / FR,,
29394637,LE 28 THIERS,RUE THIERS 28,LILLE,RUE THIERS 28 / 59000 LILLE / FR,"50,63799","3,05887"
29394638,OLYMPIQUE MARRQUOIS FOOTBALL,BOULEVARD CLEMENCEAU 109,MARCQ-EN-BARUL,BOULEVARD CLEMENCEAU 109 / 59700 MARCQ-EN-BARUL / FR,"50,67557","3,1011"
29394639,LA BASTIDE LE LAGON,.,BERRIAS ET CASTELJAU,. / 07460 BERRIAS ET CASTELJAU / FR,"44,37472","4,20128"
29394642,L'ESPRIT BRASSERIE,BD GUSTAVE FLAUBERT 157,CLERMONT FERRAND,BD GUSTAVE FLAUBERT 157 / 63000 CLERMONT FERRAND / FR,"45,78592","3,1154"
29394645,LE CHAFFOUR,RUE MONTMOUCHET 42,BILLOM,RUE MONTMOUCHET 42 / 63160 BILLOM / FR,"45,7205","3,33565"
29394646,LA PIZZANELLA,RUE BALARD 27,PARIS,RUE BALARD 27 / 75015 PARIS / FR,"33,66094","-95,55551"
29394647,CAFE HOTEL  DU CENTRE,RUE HUGUES DE PAYNS 42,PAYNS,RUE HUGUES DE PAYNS 42 / 10600 PAYNS / FR,"48,37948","3,98324"
29394649,LES BOUCHOLEURS,AV DE LA PLAGE 38,LA FAUTE SUR MER,AV DE LA PLAGE 38 / 85460 LA FAUTE SUR MER / FR,,
29394650,LA CROIX VERTE,RUE SAINTE CROIX 77,MACHECOUL,RUE SAINTE CROIX 77 / 44270 MACHECOUL / FR,"46,99383","-1,81987"
29394653,L ECRIN DES SAVEURS,BD CHARLES GIDE 30,UZES,BD CHARLES GIDE 30 / 30700 UZES / FR,"44,01324","4,41625"
29394654,CAFE NOISETTE,RUE VICTOR HUGO,SAINTES MARIES DE LA MER,RUE VICTOR HUGO / 13460 SAINTES MARIES DE LA MER / FR,"43,45080612","4,428774899"
