ABI_SFA_SAPID__c,Name,ABI_DTT_AddressFirstLine__c,ABI_SFA_City__c,ABI_SFA_Address__c,ShippingLatitude,ShippingLongitude
29759401,LE BAYOU,PL J EPINAT 33,VICHY,PL J EPINAT 33 / 03200 VICHY / FR,"46,12309","3,42229"
29759402,LA MARINE,RUE DU PORT 21,DOMPIERRE SUR BRESBRE,RUE DU PORT 21 / 03290 DOMPIERRE SUR BRESBRE / FR,"46,18384","-1,06796"
29759403,LE PATIO'NNEMENT,RUE DE L'EMERY 8,NANTES,RUE DE L&#39;EMERY 8 / 44000 NANTES / FR,"-22,61911","-51,23554"
29759404,L'USINE,RUE L'ALLEMAGNE 18,NANTES,RUE L&#39;ALLEMAGNE 18 / 44000 NANTES / FR,"-22,61911","-51,23554"
29759405,LE BISTROT DE LA GARE,RUE DE PLOUBEZRE 4,LANNION,RUE DE PLOUBEZRE 4 / 22300 LANNION / FR,"48,73207","-3,4587"
29385168,INTERNET CAFE,RUE BALLAINVILLIERS,CLERMONT FERRAND,RUE BALLAINVILLIERS / 63000 CLERMONT FERRAND / FR,"45,78592","3,1154"
29385171,LE JEAN BART,PL ARPAJOU 4,DIEPPE,PL ARPAJOU 4 / 76200 DIEPPE / FR,"49,9098","1,13182"
29385172,CTRE DE FORMATION HORTICOLE,BP 329,LOMME CEDEX,BP 329 / 59463 LOMME CEDEX / FR,,
29385173,AMICALE DE CADRES,RUE DE LATTRE DE TASSIGNY,ROUBAIX,RUE DE LATTRE DE TASSIGNY / 59100 ROUBAIX / FR,"50,69136","3,17346"
29385174,SELARL BIOLILLE,BP 117,LILLE CEDEX,BP 117 / 59016 LILLE CEDEX / FR,"50,63183","3,04704"
29385175,BRASSERIE & DEVELOPPEMENT SA,RUE NATIONALE 257,LILLE,RUE NATIONALE 257 / 59000 LILLE / FR,"50,6299","3,04607"
29385176,LES FILS DE LOUIS MULLIEZ,BP 337,ROUBAIX,BP 337 / 59056 ROUBAIX / FR,"50,69136","3,17346"
29385177,LA BRASSERIE VIP,AV DES NATIONS 85,VILLEPINTE,AV DES NATIONS 85 / 93420 VILLEPINTE / FR,"48,95961","2,53637"
29385181,LE CODE BARRE,RUE DU 8 MAI 4,ETEL,RUE DU 8 MAI 4 / 56410 ETEL / FR,"47,65627","-3,2068"
29385182,A.C.S.C. SECTION PETANQUE,PL DES FETES AIRE DE LOISIR EMY LES PRES 7,CORMEILLES EN PARISIS,PL DES FETES AIRE DE LOISIR EMY LES PRES 7 / 95240 CORMEILLES EN PARISIS / FR,"48,978465","2,19928"
29385183,L'IP CAFÀ,RUE ROUGET DE L'ISLE 41,ISSY LES MOULINEAUX,RUE ROUGET DE L&#39;ISLE 41 / 92130 ISSY LES MOULINEAUX / FR,"48,82317","2,27416"
29385184,ABRI COTIER,QUAI MARC ANTOINE PORT FEJUS .,FREJUS,QUAI MARC ANTOINE PORT FEJUS . / 83600 FREJUS / FR,"43,42284","6,748095"
29385185,ROUTE 66,RUE DU 19 MARS 1962 28,BOURS,RUE DU 19 MARS 1962 28 / 62550 BOURS / FR,"50,45743","2,40276"
29385188,HOLIDAY INN,RUE DOCTEUR BRASSART,ARRAS,RUE DOCTEUR BRASSART / 62000 ARRAS / FR,"50,28999","2,76613"
29385189,AU P'TIT BONHEUR,LE BOURG,HAUTEFAGE,LE BOURG / 47340 HAUTEFAGE / FR,"45,08298","2,00139"
29385190,LA VOULTE SPORTIF,PARC DES SPORTS,LA VOULTE SUR RHONE,PARC DES SPORTS / 07800 LA VOULTE SUR RHONE / FR,"44,80187","4,78039"
29385191,HOTEL LE MENUIRE,.,LES MENUIRES,. / 73440 LES MENUIRES / FR,,
29385192,VVF,PARC THERMAL BP 36,BRIDES LES BAINS CEDEX,PARC THERMAL BP 36 / 73571 BRIDES LES BAINS CEDEX / FR,"45,45244","6,56655"
29385193,HOTEL BEGUIN,VILLAGE DES 2 TETES,LES ARCS PIERRE BLANCHE,VILLAGE DES 2 TETES / 73700 LES ARCS PIERRE BLANCHE / FR,,
29385194,GRAND HOTEL DE VALLOIRE ET GALIB,.,VALLOIRE,. / 73450 VALLOIRE / FR,"45,12317","6,42381"
29385195,HOTEL LE PROVENCAL,RUE ROUCHAS 1,LES DEUX ALPES,RUE ROUCHAS 1 / 38860 LES DEUX ALPES / FR,"45,00764","6,12193"
29385196,LLOFFICINE,RUE JEANNE MAILLOTTE 6,LILLE,RUE JEANNE MAILLOTTE 6 / 59000 LILLE / FR,"50,63186","3,06285"
29385198,LE RICHE LIEU,QUAI FRANCOIS 1ER 5051,LE TREPORT,QUAI FRANCOIS 1ER 5051 / 76470 LE TREPORT / FR,"50,06","1,37569"
29385200,LE TREMPLIN,MANERIO .,PLOUAY,MANERIO . / 56240 PLOUAY / FR,"47,92706","-3,33722"
29385202,AUBERGE ST VINCENT,RTE DE THIONVILLE 15,ILLANGE,RTE DE THIONVILLE 15 / 57970 ILLANGE / FR,"49,32936","6,18146"
29385204,LE GARDE MANGER RESTAURANT CAFE,RUE DENUZIERES 9,LYON,RUE DENUZIERES 9 / 69002 LYON / FR,"45,75498","4,83638"
29385205,LES CYGNES,QUAI ARMAND BARBES 10,NEUVILLE SUR SAONE,QUAI ARMAND BARBES 10 / 69250 NEUVILLE SUR SAONE / FR,"45,88343","4,84423"
29385206,AU P'TIT BEDON FILS,PL DE LA LIBERATION,ROUSIES,PL DE LA LIBERATION / 59131 ROUSIES / FR,"50,27138","4,00528"
29385207,SALLE DES FETES,RUE JULES GUESDE RESPONSABLE M.CROM,PROVIN,RUE JULES GUESDE RESPONSABLE M.CROM / 59185 PROVIN / FR,"50,51176","2,90925"
29385208,LE GUIERCHOIS,RUE PRINCIPALE 2,LA GUIERCHE,RUE PRINCIPALE 2 / 72380 LA GUIERCHE / FR,"46,82245","-1,11671"
29575443,BAR DE LA FONTAINE,RUE DE LA FONTAINE 2,GOUEX,RUE DE LA FONTAINE 2 / 86320 GOUEX / FR,"46,36906","0,66512"
29575444,LE CHALAIN,RUE DE LA NICHERIE 1,LESIGNY,RUE DE LA NICHERIE 1 / 86270 LESIGNY / FR,"48,74914","2,61617"
29575445,LA FRINGALE,RUE DE LA GARE 123,NIORT,RUE DE LA GARE 123 / 79000 NIORT / FR,"46,31969","-0,45519"
29575446,LE MENHIR,AVENUE DU GENERAL DE GAULLE 14,AVRILLE,AVENUE DU GENERAL DE GAULLE 14 / 85440 AVRILLE / FR,"46,47429","-1,49516"
