ABI_SFA_SAPID__c,Name,ABI_DTT_AddressFirstLine__c,ABI_SFA_City__c,ABI_SFA_Address__c,ShippingLatitude,ShippingLongitude
29804421,LINK US,PLACE DES CARMES 12,CLERMONT FERRAND,PLACE DES CARMES 12 / 63000 CLERMONT FERRAND / FR,"45,78592","3,1154"
29804422,MAMA KITCHEN,AVENUE DE PARIS 106,MASSY,AVENUE DE PARIS 106 / 91300 MASSY / FR,"48,72333","2,26372"
29804426,LE ZINC,BOULEVARD DE REUILLY 25,PARIS,BOULEVARD DE REUILLY 25 / 75012 PARIS / FR,"48,83941","2,39192"
29804427,LE BOUCHON BEAUFORTAIN,ROUTE NATIONALE 41,BEAUFORT,ROUTE NATIONALE 41 / 39190 BEAUFORT / FR,"32,4317","-80,66993"
29804432,LA VALLEE DE CLEURIE,ROUTE DE JULIENRUPT 41,LE SYNDICAT,ROUTE DE JULIENRUPT 41 / 88120 LE SYNDICAT / FR,"48,03142","6,69839"
29804433,LE SAINT MORITZ,IMMEUBLE LE VEGA,LE CORBIER,IMMEUBLE LE VEGA / 73300 LE CORBIER / FR,"48,6654","3,12899"
29804434,LE 1190,GRANDE RUE 41 BIS,GIROMAGNY,GRANDE RUE 41 BIS / 90200 GIROMAGNY / FR,"47,75372","6,85258"
29804435,VINS SUR 20,AVENUE DES SABLES 55,TALMONT ST HILAIRE,AVENUE DES SABLES 55 / 85440 TALMONT ST HILAIRE / FR,"48,01386","-96,21476"
29804436,LE DAD'SONN,RUE DU MUGUET,ERCE EN LAMEE,RUE DU MUGUET / 35620 ERCE EN LAMEE / FR,"47,83006762","-1,560161106"
29804438,LE DILAN,AV FRANKLIN ROOSVELT,MITRY MORY,AV FRANKLIN ROOSVELT / 77290 MITRY MORY / FR,"48,97815","2,61238"
29804462,ETS MARCHAIS,IMPASSE FONTBOISSEAU,MONTGUYON,IMPASSE FONTBOISSEAU / 17270 MONTGUYON / FR,"45,21765","-0,18805"
29804494,QG,RUE SAINT MALO 11,LANNION,RUE SAINT MALO 11 / 22300 LANNION / FR,"48,73169","-3,45836"
29804497,LA PASSERELLE,RAYMOND DERAIN 56,MARCQ EN BAROEUL,RAYMOND DERAIN 56 / 59700 MARCQ EN BAROEUL / FR,"50,6744548","3,091205082"
29804498,LE QUARTIER LATIN,COURS LIBÉRATION DE GAULLE 16,GRENOBLE,COURS LIBÉRATION DE GAULLE 16 / 38100 GRENOBLE / FR,"45,18218","5,72115"
29804499,AU BOUT DE LA RUE,RUE DE L'AIGUILLE DU FRUIT,COURCHEVEL 1650,RUE DE L&#39;AIGUILLE DU FRUIT / 73120 COURCHEVEL 1650 / FR,"45,39544","6,63961"
29804500,GREENDOG,BOULEVARD SAINT MICHEL 147,PARIS,BOULEVARD SAINT MICHEL 147 / 75005 PARIS / FR,"33,66094","-95,55551"
29804501,LE TRAC,AVENUE DE FRANCE 72,PARIS,AVENUE DE FRANCE 72 / 75013 PARIS / FR,"48,82793","2,37956"
29804502,ZED BAR,RUE DAUBENTON 46,PARIS,RUE DAUBENTON 46 / 75005 PARIS / FR,"33,66094","-95,55551"
29804504,SMOKE,RUE DELAMBRE 29,PARIS,RUE DELAMBRE 29 / 75014 PARIS / FR,"33,66094","-95,55551"
29804506,UTOPIA,RUE DE L'OUEST 79,PARIS,RUE DE L&#39;OUEST 79 / 75014 PARIS / FR,"33,66094","-95,55551"
29804505,MACIS ET MUSCADE,RUE DES ENTREPRENEURS 39,PARIS,RUE DES ENTREPRENEURS 39 / 75015 PARIS / FR,"33,66094","-95,55551"
29804508,LES ECRIVAINS,RUE DES FAVORITES 15,PARIS,RUE DES FAVORITES 15 / 75015 PARIS / FR,"33,66094","-95,55551"
29804507,CASA DA GUSTO,RUE DE PLAISANCE 6,PARIS,RUE DE PLAISANCE 6 / 75014 PARIS / FR,"33,66094","-95,55551"
