ABI_SFA_SAPID__c,Name,ABI_DTT_AddressFirstLine__c,ABI_SFA_City__c,ABI_SFA_Address__c,ShippingLatitude,ShippingLongitude
40064121,LE SMOKE KING - POK BOWL,RUE D HAUTPOUL 17,PARIS,RUE D HAUTPOUL 17 / 75019 PARIS / FR,"33,66094","-95,55551"
40064122,CHEZ OUAM,RUE ALEXANDRE CABANEL 5,MONTPELLIER,RUE ALEXANDRE CABANEL 5 / 34000 MONTPELLIER / FR,"43,61342","3,8693"
40064123,PALAIS DE WENZHOU,RUE DE JOINVILLE 13,PARIS,RUE DE JOINVILLE 13 / 75019 PARIS / FR,"33,66094","-95,55551"
40064124,LE BISTRO DE DOMI,BOULEVARD ADOLPHE BILLAULT 5,NANTES,BOULEVARD ADOLPHE BILLAULT 5 / 44000 NANTES / FR,"-22,61911","-51,23554"
40064125,CHOPSTICKS VIET THAI,RUE DES TROIS BORNES 16,PARIS,RUE DES TROIS BORNES 16 / 75011 PARIS / FR,"33,66094","-95,55551"
40064126,TALY ET KAREEM GAD BELLYDANCE CIE B,QUAI DE JEMMAPES 48,PARIS,QUAI DE JEMMAPES 48 / 75010 PARIS / FR,"33,66094","-95,55551"
40064127,SUSHI TONG,PLACE DE LA REPUBLIQUE 2,ROUEN,PLACE DE LA REPUBLIQUE 2 / 76000 ROUEN / FR,"49,44146","1,09346"
40064128,LA GRANGE DU TERTRE - SALLE DE MARI,RUE DE L EGLISE 4,CHAILLY-EN-BIRE,RUE DE L EGLISE 4 / 77930 CHAILLY-EN-BIRE / FR,"48,79258","3,13407"
40064129,68TEMPLE / BOUTIQUE PHMRE MARAIS TE,RUE DU TEMPLE 68,PARIS,RUE DU TEMPLE 68 / 75003 PARIS / FR,"33,66094","-95,55551"
40064130,POKE LAB,ALLEES DU PRESIDENT FRANKLIN ROOSEVELT 6,TOULOUSE,ALLEES DU PRESIDENT FRANKLIN ROOSEVELT 6 / 31000 TOULOUSE / FR,"43,59605","1,43214"
40064131,INVINOVERITAS,RUE DIDEROT 16,MONTPELLIER,RUE DIDEROT 16 / 34000 MONTPELLIER / FR,"43,61342","3,8693"
40064132,GIN GO GAE,RUE LAMARTINE 28,PARIS,RUE LAMARTINE 28 / 75009 PARIS / FR,"48,8766","2,34197"
40064133,LE CAPRIZZIO,MAIL DES CERCLADES 1,CERGY,MAIL DES CERCLADES 1 / 95000 CERGY / FR,"49,0525","2,03883"
40064134,GRILL D'ISTANBUL,AVENUE ALBERT DE MUN 60,SAINT-NAZAIRE,AVENUE ALBERT DE MUN 60 / 44600 SAINT-NAZAIRE / FR,"47,28005","-2,25054"
40064135,LE BAR POPULAIRE,AVENUE JEAN JAURES 35,CARQUEIRANNE,AVENUE JEAN JAURES 35 / 83320 CARQUEIRANNE / FR,"43,09688","6,07168"
40064136,LES TROIS ROIS - RESTAURANT COURS J,RUE DES TROIS ROIS 24,MARSEILLE,RUE DES TROIS ROIS 24 / 13006 MARSEILLE / FR,"43,29222","5,42017"
40064137,HOTEL MARIE DE JULES,AVENUE DU 8 MAI 1945 450,EYRAGUES,AVENUE DU 8 MAI 1945 450 / 13630 EYRAGUES / FR,"43,84074","4,84193"
40064138,LA PISSALAD'HYRES,CHEMIN ROCHER DE ST JEAN,HYRES,CHEMIN ROCHER DE ST JEAN / 83400 HYRES / FR,"44,24784","3,38681"
40064139,BENI WAGYU BURGER - ASNIRES,RUE DU REVEREND PERE CHRISTIAN GILBERT 54,ASNIRES-SUR-SEINE,RUE DU REVEREND PERE CHRISTIAN GILBERT 54 / 92600 ASNIRES-SUR-SEINE / FR,"48,91514","2,28616"
40064140,IL BUGIGATTOLO,RUE DE LA FONTAINE DU BUT 18,PARIS,RUE DE LA FONTAINE DU BUT 18 / 75018 PARIS / FR,"33,66094","-95,55551"
